"Var1","Freq","predicted_word","score"
"the",472577,"the",0.0497153536500115
"to",273781,"to",0.0288019079169189
"and",239896,"and",0.0252371877582344
"of",200187,"of",0.0210597796785177
"i",188793,"i",0.0198611247725696
"in",164582,"in",0.0173141145980998
"is",132544,"is",0.0139436998292069
"it",126882,"it",0.0133480543949891
"that",110921,"that",0.0116689486416244
"for",108936,"for",0.0114601255778797
"you",94936,"you",0.00998731807539828
"on",82117,"on",0.00863875240580476
"not",74183,"not",0.00780409135404136
"with",70786,"with",0.00744672513361783
"was",63697,"was",0.00670095853468278
"are",60956,"are",0.00641260386580409
"my",60080,"my",0.00632044819636311
"at",56482,"at",0.00594193666822539
"be",54228,"be",0.00570481466032588
"this",53991,"this",0.00567988213331959
"have",53158,"have",0.00559225008692194
"as",47862,"as",0.0050351080488404
"but",47447,"but",0.00499144982644542
"we",47258,"we",0.00497156692516192
"he",46603,"he",0.00490266057415296
"will",39217,"will",0.00412564941605813
"from",38110,"from",0.0040091924228262
"so",37948,"so",0.00399214993601177
"do",37043,"do",0.00389694345102994
"me",36864,"me",0.00387811255510536
"they",34688,"they",0.00364919618900539
"all",34256,"all",0.00360374955750025
"by",31600,"by",0.00332433693417234
"or",30787,"or",0.00323880889849253
"your",30182,"your",0.00317516257427815
"out",30110,"out",0.00316758813569396
"what",29874,"what",0.00314276080922356
"up",29792,"up",0.00313413436528046
"one",29759,"one",0.00313066274759604
"his",29748,"his",0.00312950554170123
"said",29651,"said",0.00311930108971975
"just",29650,"just",0.00311919588918386
"an",29568,"an",0.00311056944524075
"about",29439,"about",0.00309699857611075
"am",28816,"am",0.00303145864225032
"if",27105,"if",0.00285146052533992
"like",26791,"like",0.00281842755706998
"has",26702,"has",0.00280906470937563
"would",25615,"would",0.00269471172686154
"who",25614,"who",0.00269460652632564
"when",25255,"when",0.00265683953394059
"can",24467,"can",0.00257394151165806
"more",24144,"more",0.0025399617385651
"there",23833,"there",0.00250724437190283
"had",23289,"had",0.00245001528037784
"get",22044,"get",0.00231904061319288
"time",21950,"time",0.00230915176281908
"her",20600,"her",0.00216713103936551
"she",20371,"she",0.00214304011664635
"their",20273,"their",0.00213273046412898
"no",20075,"no",0.00211190075802246
"some",19967,"some",0.00210053910014618
"new",19246,"new",0.00202468951376838
"were",18657,"were",0.00196272639812827
"our",18587,"our",0.00195536236061586
"been",18474,"been",0.00194347470006012
"good",17653,"good",0.00185710506009318
"day",17601,"day",0.00185163463222682
"now",17492,"now",0.00184016777381464
"how",17450,"how",0.0018357493513072
"them",16057,"them",0.00168920500481029
"love",15974,"love",0.0016804733603313
"people",15667,"people",0.0016481767958126
"know",15487,"know",0.00162924069935212
"did",15199,"did",0.00159894294501536
"which",14534,"which",0.00152898458864749
"year",14495,"year",0.00152488176774772
"back",14449,"back",0.00152004254309671
"first",14053,"first",0.00147838313088367
"than",13871,"than",0.00145923663335141
"go",13712,"go",0.00144250974814466
"after",13339,"after",0.00140326994825712
"into",13102,"into",0.00137833742125082
"also",12856,"also",0.00135245808942151
"see",12851,"see",0.00135193208674205
"make",12697,"make",0.00133573120421475
"could",12648,"could",0.00133057637795607
"only",12611,"only",0.00132668395812808
"other",12591,"other",0.00132457994741025
"over",12522,"over",0.00131732111043374
"last",12490,"last",0.00131395469328521
"great",12416,"great",0.00130616985362923
"then",12397,"then",0.0013041710434473
"going",12293,"going",0.00129323018771458
"think",12147,"think",0.00127787090947441
"two",12104,"two",0.00127334728643108
"much",11962,"much",0.00125840881033448
"him",11907,"him",0.00125262278086045
"because",11877,"because",0.0012494667647837
"us",11793,"us",0.00124062991976881
"well",11789,"well",0.00124020911762525
"too",11582,"too",0.0012184326066957
"today",11562,"today",0.00121632859597787
"way",11163,"way",0.00117435358215715
"really",10958,"really",0.00115278747229938
"got",10721,"got",0.00112785494529309
"here",10613,"here",0.00111649328741681
"work",10512,"work",0.00110586803329176
"even",10410,"even",0.00109513757863083
"right",10228,"right",0.00107599108109857
"off",10198,"off",0.00107283506502182
